CB3MH,Upper Central Chesapeake Bay,12,Mesohaline,Upper Central Chesapeake Bay (Mesohaline),944.553264,,905.460462,,435.135999,,561.755163,,227.884842,,86.191968,,54.883131,,435.90204,,800.216313,,819.91098,,854.778201,,900.740661,,916.358013,,761.790708,,6.869658,pd,9.241914,,1.23555,pd,94.692552,,22.808253,pd,908.62347,,566.474964,,169.443327,,123.505578,,188.742618,,234.457968,,202.580778,,767.449527,,433.727472,,124.098642,,363.449388,,630.62472,,744.962517,,272.092821,,466.370703,,785.117892,,340.789401,,372.913701,,651.62907,,339.472849,,575.1368875,,1370
CB4MH,Middle Central Chesapeake Bay,18,Mesohaline,Middle Central Chesapeake Bay (Mesohaline),45.048153,,87.575784,,30.913461,,15.691485,,5.980062,,12.133101,,5.584686,,18.088452,,12.058968,,0,,0,,0,,50.113908,,0,,24.21678,,0,,112.163229,pd,269.448744,,21.375015,,10.403331,,0,,0,,0,,0,,0.370665,,0,,68.177649,,0,,0,,0,,0,,35.732106,,48.828936,,22.882386,pd,161.758206,,44.751621,,42.379365,,38.277339,,43.589322,,14.3568005,,2533
CB5MH,Lower Central Chesapeake Bay,29,Mesohaline,Lower Central Chesapeake Bay (Mesohaline),13.368651,pd,934.125222,,600.502011,,1324.484889,,1352.235342,,1632.779325,,580.313124,,2195.275818,,1132.381575,,25.773573,,0,,3.780783,,170.382345,,4.991622,,656.843091,,1377.712383,,2156.701947,,2136.933147,,699.271878,,397.35288,,919.125645,,573.196356,,503.980845,,1133.98779,,2280.034548,,432.071835,,701.29818,,525.701814,,807.703746,,2082.074727,,2135.055111,,2806.848357,,3045.87786,,2668.985688,,901.877367,,829.449426,,1209.430473,,1346.428257,,1405.162583,,1326.336088,,8270
CHOMH1,Mouth of the Choptank River,20,Mesohaline,Mouth of the Choptank River (Mesohaline),142.706025,,3471.500124,,700.334451,,697.072599,,2070.979488,,294.579831,,201.765315,,2302.472136,,4284.813267,,3607.410624,,3656.585514,,5791.393515,,6900.769149,,5642.287341,,3789.580116,,1681.954215,,5259.761061,,6584.542482,,2970.2622,,3772.430682,,2292.43947,,1042.878333,,1256.900304,,460.514196,,649.034415,,404.123694,,2825.900538,,755.958912,,1261.768371,,3792.545436,,6045.620283,,7260.758997,,8707.612758,,5350.005633,pd,5317.436535,,4531.527891,,4170.178938,,5001.975909,,5424.720776,,3214.292419,,8184
CHOMH2,Lower Choptank River,21,Mesohaline,Lower Choptank River (Mesohaline),0,,89.997462,,21.720969,,0,,0,,0,,0,,13.986426,,9.933822,,0,,0,,0,,4.349136,,0,,0,,0,,148.142445,,154.44375,,0,,0.98844,,0,,0,,0,,0,,0,,0,,44.72691,,18.162585,,0,,19.842933,,32.989185,,30.023865,,20.880795,,0,pd,23.055363,,30.518085,,9.118359,,7.487433,,15.518194,,9.834779,,1621
CHOOH,Middle Choptank River,22,Oligohaline,Middle Choptank River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,19.200447,,26.514903,,0,,0,,7.363878,,0,,0,,1.359105,,0,,0,,72
CHOTF,Upper Choptank River,23,Tidal Fresh,Upper Choptank River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CHSMH,Lower Chester River,15,Mesohaline,Lower Chester River (Mesohaline),1033.265754,,910.60035,,399.453315,,708.489081,,186.370362,,80.187195,,85.178817,,194.599125,,757.515705,,1012.730913,,1097.66262,,770.48898,,1049.747991,,1180.913979,,735.745314,,0,,205.546098,,204.85419,,116.932452,pd,730.70427,,461.84859,,183.899262,,67.559874,,82.78185,,95.335038,,84.116244,,283.484592,,173.817174,,36.720546,,143.620332,,382.723968,,545.86599,,235.149876,,381.760239,,766.53522,,369.800115,,265.346718,,362.856324,,271.173027,,320.890553,,2928
CHSOH,Middle Chester River,16,Oligohaline,Middle Chester River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.349136,,228.08253,,0,,0,,0,,0,,0,,17.940186,,0,,0,,19.669956,,93.580557,,101.784609,,69.264933,,217.036713,,366.291153,,228.848571,,9.760845,,0,,0,,0,,77
CHSTF,Upper Chester River,17,Tidal Fresh,Upper Chester River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.963729,,0,,0,,0,,0,,0,,0,,0,,0,,9.909111,,14.505357,,358.334211,,409.95549,,472.301343,,483.273027,,191.238429,,14.554779,,5.065755,,4.3243375,,2.7428655,,1
EASMH,Eastern Bay,19,Mesohaline,Eastern Bay (Mesohaline),215.23281,,971.982474,,624.323415,,2216.972076,,2051.26011,,961.603854,,167.861823,,1370.323794,,1813.095492,,2412.139554,,3328.695255,,3678.257061,,4567.383552,,2736.125475,,4955.642784,,0,,2886.813153,,2779.616835,,1637.943924,,1039.196394,,767.52366,,565.338258,,80.113062,,89.873907,,473.240361,,421.693215,,1633.001724,,228.552039,,48.482982,,216.196539,,1505.245854,,2327.059581,,2441.273823,,1837.065162,,2003.790279,,841.384839,,511.196457,,572.133783,,974.8539355,,623.9154145,,6209
ELKOH,Elk River,3,Oligohaline,Elk River Segment 2 (Oligohaline),33.85407,,95.260905,,14.184114,,17.890764,,469.780821,,879.242091,,664.033992,,594.596082,,233.716638,,441.511437,,309.060477,,108.036492,,166.650984,,509.244288,,798.560676,,1710.297732,,2034.70374,,435.16071,,345.855156,,1912.112469,,1963.511349,,1989.284922,,1980.067719,,2346.680115,,2532.062037,,2376.012072,,144.954726,,114.90615,,113.967132,,431.552904,,2251.147389,,2338.673751,,2221.889565,,1902.870555,pd,820.232223,,612.239736,,115.054416,,189.162705,,0,,85.597172,,2034
FSBMH,Fishing Bay,31,Mesohaline,Fishing Bay (Mesohaline),0,,0,,0.197688,,5.041044,,21.869235,,13.368651,,1.48266,,33.656382,,38.722137,,63.952068,,26.762013,,0,,0,,0,,4.991622,,6.326016,,5.535264,,108.802533,,15.07371,,16.704636,,6.597837,,12.997986,,0,,22.165767,,147.203427,,138.480444,,156.445341,,64.619265,,122.714826,,191.040741,,284.1765,,311.136201,,366.340575,,218.494662,,12.701454,,71.958432,,156.643029,,103.020159,,271.173027,,45.714425,,197
GUNOH,Gunpowder River,9,Oligohaline,Gunpowder River (Oligohaline),0,pd,117.920892,,0,pd,88.070004,,60.665505,,213.848994,,201.765315,,311.556288,,115.15326,,220.545675,,168.652575,,918.903246,,1575.029718,,2151.636192,,307.750794,pd,2433.04506,,0,nd,463.08414,,489.154245,,2391.03636,,1733.031852,,842.818077,,1464.62097,,1719.292536,,1887.67329,,1729.967688,,1386.064701,,770.661957,,799.079607,,916.506279,,1236.414885,,920.287062,,1219.314873,,1514.092392,,2038.6575,,2137.427367,,2164.090536,,1285.96044,,207.2963845,,466.488593,,2432
HNGMH,Honga River,30,Mesohaline,Honga River (Mesohaline),33.162162,,783.857631,,636.011718,,1585.853136,,2466.602598,,2885.99769,,3329.683695,,3792.026505,,4560.266784,,3438.362673,,2213.290137,,1539.4953,,2200.539261,,781.781907,,1913.842239,,2824.936809,,4949.242635,,6322.852992,,2842.629885,,3431.023506,,4376.3181,,2094.726759,,1992.744462,,3964.682262,,4922.134668,,2174.81511,,2592.529854,,2403.861369,,2953.681119,,5214.441087,,6216.867513,,7857.010716,,7665.59931,,6240.738339,pd,2567.991831,,2335.387188,,2800.324653,,3039.403578,,3976.759607,,4355.670414,,7761
LCHMH,Little Choptank River,24,Mesohaline,Little Choptank River (Mesohaline),69.487332,,907.560897,,400.491177,,175.275123,,68.573025,,168.949107,,74.157711,,344.866716,,381.562551,,132.895758,,45.344685,,850.55262,,1308.175629,,1525.212342,,1603.323813,,1157.487951,,2378.260773,,2904.926316,,783.907053,,1220.47629,,259.4655,,120.812079,,141.149232,,80.459016,,176.609517,,170.851854,,476.625768,,114.313086,,49.347867,,240.981672,,847.83441,,1836.669786,,2448.390591,,1081.921713,pd,1503.095997,,551.277699,,176.238852,,377.361681,,902.575723,,156.565728,,4076
MAGMH,Magothy River,14,Mesohaline,Magothy River (Mesohaline),23.524872,,12.528477,,9.686712,,0.642486,,0,,0,,0,,0,,32.643231,,45.814194,,78.259737,,91.801365,,132.154428,,197.737422,,65.23704,pd,89.898618,,0,nd,208.783239,,168.726708,,299.522031,,308.294436,,250.248297,,82.930116,,89.651508,,12.10839,,1.754481,,7.858098,,0,,0,,18.953337,,31.704213,,11.292927,,23.376606,,35.756817,,183.429753,,123.085491,,60.393684,,80.953236,,72.797133,,72.846554,,579
MANMH,Manokin River,37,Mesohaline,Manokin River Segment 1 (Mesohaline),0,,179.105328,,345.113826,,344.273652,,217.061424,,254.473878,,282.743262,,354.874671,,387.320214,,165.242457,,231.29496,,19.867644,,139.468884,,34.620111,,239.103636,,451.420548,,403.678896,,727.763661,,234.630945,,291.219135,,409.881357,,231.171405,,285.263784,,414.922401,,585.304746,,884.060736,,540.651969,,593.80533,,798.486543,,1139.226522,,1233.894363,,1509.619701,,1897.8048,,2054.003031,,583.42671,,697.912773,,503.980845,,457.573587,,457.391355,,160.667671,,4353
MATTF,Mattawoman Creek,49,Tidal Fresh,Mattawoman Creek (Tidal Fresh),0,,0,,16.877613,,7.092057,,97.089519,,100.301949,,149.847504,,143.249667,,134.131308,,67.139787,,28.022274,,108.926088,,124.246908,,162.919623,,209.944656,,330.732024,,0,pd,792.630036,,611.893782,,600.576144,,769.74765,,814.005051,,833.378475,,877.018101,,865.749885,,759.912672,,704.387055,,537.785493,,489.302511,,479.516955,,667.271133,,686.644557,,665.343675,,482.927073,,708.316104,,769.920627,,842.472123,,767.128284,,775.6873055,,872.132387,,792
MIDOH,Middle River,10,Oligohaline,Middle River (Oligohaline),0,nd,193.610685,,0,nd,94.025355,,19.571112,,7.388589,,19.472268,,112.978692,,16.482237,,61.826922,,11.762436,,76.999476,,290.033007,,105.590103,,95.13735,,740.267427,,0,nd,629.463303,,391.076286,,670.705962,,453.768093,,230.677185,,550.388103,,826.681794,,780.348669,,658.276329,,311.828109,,309.13461,,366.637107,,519.079266,,841.187151,,950.261505,,857.002191,,864.39078,pd,458.833848,,503.733735,,687.978951,,416.998125,,277.993125,,410.589668,,879
NANMH,Lower Nanticoke River,32,Mesohaline,Lower Nanticoke River (Mesohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.395376,,0,,0,,0,,0,,0,,0,,0,,3
NANOH,Middle Nanticoke River,33,Oligohaline,Middle Nanticoke River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12
NANTF,Upper Nanticoke River,34,Tidal Fresh,Upper Nanticoke River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
NORTF,Northeast River,2,Tidal Fresh,Northeast River (Tidal Fresh),0,,0,,4.966911,,0.840174,,0,,0,,0,,0,,0,,19.669956,,16.951746,,13.09683,,12.306078,,24.587445,,14.208825,,23.302473,,0,,75.986325,,46.036593,,84.165666,,78.383292,,132.45096,,115.054416,,182.713134,,240.141498,,228.379062,,108.308313,,52.288476,,52.041366,,70.772304,,83.374914,,90.022173,,100.351371,,93.753534,,86.537922,,108.555423,,98.498046,,98.868711,,96.86516,,146.879212,,89
PATMH,Patapsco River,13,Mesohaline,Patapsco River (Mesohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0.914307,,0,,5.68353,,4.769223,,14.480646,,0,pd,0,,0,pd,7.882809,,6.523704,,202.358379,,278.863635,,48.087606,,9.068937,,18.137874,,11.540037,,0,,3.632517,,0,,0,,16.778769,,39.611733,,3.45954,,14.282958,,30.567507,,140.778567,,143.472066,,164.377572,,176.807205,,179.694756,,228.226178,,389
PAXMH,Lower Patuxent River,42,Mesohaline,Lower Patuxent River Segment 6 (Mesohaline),35.386152,,132.772203,,42.824163,,90.318705,,8.377029,,0,,0,,0,,2.446389,,3.756072,,0,,0,,2.520522,,0,,9.63729,,0,,21.918657,,140.630301,,37.017078,,41.638035,,0,,0,,36.794679,,6.721392,,39.636444,,17.890764,,21.572703,pd,11.021106,,16.506948,,7.808676,,17.618943,,31.259415,,130.103415,,34.274157,,34.867221,,20.979639,,40.229508,,101.537499,,17.6680075,,17.3220605,,1634
PAXOH,Middle Patuxent River,43,Oligohaline,Middle Patuxent River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,53.029806,,73.960023,,89.009022,,99.041688,,106.875075,,0,pd,115.474503,,104.453397,pd,21.029061,,106.282011,,105.590103,,125.087082,,71.192391,,27.750453,,101.735187,,91.999053,,66.151347,,0,pd,16.086861,,17.618943,,38.252628,,32.445543,,0,,0,,1.48266,,21.572703,,9.241914,,0,,0,,0,,0,,115
PAXTF,Upper Patuxent River,44,Tidal Fresh,Upper Patuxent River (Tidal Fresh),0,,13.937004,,0,,0,,0,,0,,0,,0,,21.696258,,132.772203,,111.69372,,157.977423,,131.363676,,151.47843,,0,nd,92.17203,,205.200144,,170.678877,,216.987291,,219.779634,,324.406008,,204.483525,,116.166411,,131.660208,,164.031618,,147.944757,,0,nd,29.949732,,14.752467,,100.919724,,94.39602,,0,,0,,36.893523,,101.661054,,25.847706,,1.754481,,1.878036,,0,,0,,205
PISTF,Piscataway Creek,50,Tidal Fresh,Piscataway Creek (Tidal Fresh),344.891427,,523.206003,,761.765997,,789.145785,,27.453921,,142.58247,,269.028657,,20.559552,,36.992367,,76.10988,,81.571011,,125.754279,,304.563075,,312.890682,,125.556591,,319.315542,,0,nd,631.637871,,211.77327,,506.649633,,757.268595,,732.236352,,756.947352,,764.583051,,274.04499,,522.958893,,0,nd,252.249888,,432.541344,,474.970131,,541.640409,,0,nd,346.991862,,0,nd,36.893523,,63.037761,,40.180086,,29.109558,,0,nd,161.2854335,,789
POCMH,Lower Pocomoke River,39,Mesohaline,Lower Pocomoke River (Mesohaline),90.170439,,26.638458,,65.335884,,55.154952,,95.335038,,59.281689,,57.922584,,70.080396,,68.350626,,50.731683,,52.683852,,37.684275,,28.887159,,10.032666,,39.018669,,60.739638,,58.515648,,97.559028,,58.243827,,69.314355,,69.43791,,66.373746,,35.855661,,80.211906,,119.84835,,151.453719,,133.266423,,163.265577,,181.527006,,216.71547,,199.714302,,285.758004,,309.13461,,366.983061,,75.195573,,20.905506,,39.068091,,76.381701,,178.6816255,,148.312421,,877
POCOH,Middle Pocomoke River,40,Oligohaline,Middle Pocomoke River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
POCTF,Upper Pocomoke River,41,Tidal Fresh,Upper Pocomoke River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,
